token_address,token_symbol,launch_date,peak_date,max_multiple,wallet_address,wallet_first_buy_ts,wallet_position_pct_at_peak,is_bundled,bundle_id
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,E2WXkz29eYFqX6CRywimX2i38E3V7A7czsDncAYKCkjc,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,8Hx3HTJ5qtbVSBhMBNSzBiGnXgTavRrfhwoPi66kDAu3,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,BjvpBPyAF56G53Q1QYJKHtB4DZ9UKzsTU4Q7c4miXPy2,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,MLKQzPRjxGo15AamkjSXwkakJJzFspvMEvBHXCoAVjM,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,HBFg89p3WUsMV6LhAiigchwXZkWTkKdUPNhKKWjYkG9M,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,3YDjehi7q158Y8wj6NeX1FxAJys23Dar5zb6TJ3XZUnr,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,7JoNwKCZQyp5FzZWmYv7BbKM1TKTTFz6fhdxYXqNXujM,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,7apejAL8Hbzc6WSmgCVhDEZK4gJ5dGA8xCDF85u6ZFkj,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,AfqVNWaMqRGZ4BNwvbp8RQt3qz2SS2DutZaZh7nEm2Gv,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,bQtgjaf13Kfh3jzLDdi3Foev5hzcxvikZbFEdMSnLHB,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,ERaLpvqYeXfVbhhJeEtM32qexg8XKQx3zPWwUdedbSJj,NULL,NULL,NULL,NULL
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,2025-04-22,2025-08-22,73,ACDQ54QMadZ212djZJ2Vo6XFT43DioeJmJkaxpcFRpaW,NULL,NULL,NULL,NULL
